dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	randomized	17	1000	kmer	2360837477	2370881839	2361616806
ngono-spneumo	randomized	17	1000	uniqrow	97467714	97780707	97529206
ngono-spneumo	randomized	17	1000	unitig	213283159	214081739	213370602
ngono-spneumo	randomized	19	1000	kmer	2384568618	2395090823	2385390392
ngono-spneumo	randomized	19	1000	uniqrow	97202553	97512953	97263774
ngono-spneumo	randomized	19	1000	unitig	174639111	175294629	174716460
ngono-spneumo	randomized	21	1000	kmer	2402029689	2412993931	2402891176
ngono-spneumo	randomized	21	1000	uniqrow	97575015	97886871	97636552
ngono-spneumo	randomized	21	1000	unitig	164545098	165171704	164620926
ngono-spneumo	randomized	23	1000	kmer	2417162693	2428556539	2418062028
ngono-spneumo	randomized	23	1000	uniqrow	100015408	100337204	100079124
ngono-spneumo	randomized	23	1000	unitig	161471178	162093375	161548310
ngono-spneumo	randomized	25	1000	kmer	2431343713	2443162207	2432279660
ngono-spneumo	randomized	25	1000	uniqrow	101057978	101385266	101122620
ngono-spneumo	randomized	25	1000	unitig	157583654	158199076	157660918
ngono-spneumo	randomized	27	1000	kmer	2444938753	2457178589	2445910242
ngono-spneumo	randomized	27	1000	uniqrow	101204169	101532849	101269026
ngono-spneumo	randomized	27	1000	unitig	153958775	154566367	154035754
ngono-spneumo	randomized	29	1000	kmer	2458010799	2470668347	2459016598
ngono-spneumo	randomized	29	1000	uniqrow	103023883	103361213	103090610
ngono-spneumo	randomized	29	1000	unitig	152925117	153535170	153003460
ngono-spneumo	randomized	31	1000	kmer	2470663979	2483736870	2471703168
ngono-spneumo	randomized	31	1000	uniqrow	103655340	103996151	103722798
ngono-spneumo	randomized	31	1000	unitig	150204337	150810108	150282842
ngono-spneumo	upgma-attotree	11	1000	kmer	18634610	20433959	19592542
ngono-spneumo	upgma-attotree	11	1000	uniqrow	13368701	13953233	13647078
ngono-spneumo	upgma-attotree	11	1000	unitig	18510809	20296344	19462802
ngono-spneumo	upgma-attotree	13	1000	kmer	63618589	70508257	66887308
ngono-spneumo	upgma-attotree	13	1000	uniqrow	17374684	18180006	17712926
ngono-spneumo	upgma-attotree	13	1000	unitig	45222237	49905794	47537942
ngono-spneumo	upgma-attotree	15	1000	kmer	80289260	89605654	84208236
ngono-spneumo	upgma-attotree	15	1000	uniqrow	8111681	8496607	8286464
ngono-spneumo	upgma-attotree	15	1000	unitig	18704412	20555688	19540964
ngono-spneumo	upgma-attotree	17	1000	kmer	86572153	96616515	90577798
ngono-spneumo	upgma-attotree	17	1000	uniqrow	6750625	7063618	6902224
ngono-spneumo	upgma-attotree	17	1000	unitig	9837487	10636067	10193562
ngono-spneumo	upgma-attotree	19	1000	kmer	91453342	101975547	95479096
ngono-spneumo	upgma-attotree	19	1000	uniqrow	6758505	7068905	6909756
ngono-spneumo	upgma-attotree	19	1000	unitig	8789319	9444837	9077872
ngono-spneumo	upgma-attotree	21	1000	kmer	96054208	107018450	100089734
ngono-spneumo	upgma-attotree	21	1000	uniqrow	6816687	7128543	6968452
ngono-spneumo	upgma-attotree	21	1000	unitig	8639145	9265751	8909364
ngono-spneumo	upgma-attotree	23	1000	kmer	100465021	111858867	104506850
ngono-spneumo	upgma-attotree	23	1000	uniqrow	7071229	7393025	7226304
ngono-spneumo	upgma-attotree	23	1000	unitig	8797954	9420151	9061486
ngono-spneumo	upgma-attotree	25	1000	kmer	104757831	116576325	108804812
ngono-spneumo	upgma-attotree	25	1000	uniqrow	7214287	7541575	7370790
ngono-spneumo	upgma-attotree	25	1000	unitig	8856943	9472365	9112942
ngono-spneumo	upgma-attotree	27	1000	kmer	108946918	121186754	112998556
ngono-spneumo	upgma-attotree	27	1000	uniqrow	7264131	7592811	7420872
ngono-spneumo	upgma-attotree	27	1000	unitig	8844718	9452310	9094152
ngono-spneumo	upgma-attotree	29	1000	kmer	113022179	125679727	117078148
ngono-spneumo	upgma-attotree	29	1000	uniqrow	7483511	7820841	7642736
ngono-spneumo	upgma-attotree	29	1000	unitig	9024607	9634660	9271346
ngono-spneumo	upgma-attotree	31	1000	kmer	117015218	130088109	121075202
ngono-spneumo	upgma-attotree	31	1000	uniqrow	7587006	7927817	7747066
ngono-spneumo	upgma-attotree	31	1000	unitig	9070277	9676048	9311822
ngono-spneumo	upgma-hamming	11	1000	kmer	18620058	20419407	19575674
ngono-spneumo	upgma-hamming	11	1000	uniqrow	13344111	13928643	13622488
ngono-spneumo	upgma-hamming	11	1000	unitig	18497576	20283111	19447036
ngono-spneumo	upgma-hamming	13	1000	kmer	64006113	70895781	67274832
ngono-spneumo	upgma-hamming	13	1000	uniqrow	17422092	18227414	17762122
ngono-spneumo	upgma-hamming	13	1000	unitig	45607107	50290664	47941838
ngono-spneumo	upgma-hamming	15	1000	kmer	81044597	90360991	85009556
ngono-spneumo	upgma-hamming	15	1000	uniqrow	8080950	8465876	8255216
ngono-spneumo	upgma-hamming	15	1000	unitig	18765371	20616647	19606172
ngono-spneumo	upgma-hamming	17	1000	kmer	87066659	97111021	91072304
ngono-spneumo	upgma-hamming	17	1000	uniqrow	6708865	7021858	6859504
ngono-spneumo	upgma-hamming	17	1000	unitig	9807734	10606314	10165026
ngono-spneumo	upgma-hamming	19	1000	kmer	92253670	102775875	96279424
ngono-spneumo	upgma-hamming	19	1000	uniqrow	6695141	7005541	6846230
ngono-spneumo	upgma-hamming	19	1000	unitig	8745527	9401045	9033448
ngono-spneumo	upgma-hamming	21	1000	kmer	96913791	107878033	100994820
ngono-spneumo	upgma-hamming	21	1000	uniqrow	6761020	7072876	6912594
ngono-spneumo	upgma-hamming	21	1000	unitig	8586773	9213379	8856348
ngono-spneumo	upgma-hamming	23	1000	kmer	100932090	112325936	105027220
